Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.115,-24695.10418,-490.6558896,40.76923494,20.10204428,-35.46883609,34712.35865,3.886891521,845.9724623,NaN,NaN,-10017.25448,486.7689981,40.60107223,-36.83575339,-17.07554798
0.116,-26266.12382,-337.4130059,40.7692427,20.10204198,-35.4688463,27949.7321,17.66832647,845.9737136,NaN,NaN,-1683.608294,319.7446794,40.60107134,-36.83575229,-17.07554822
0.117,-25265.99437,-151.1447816,40.76924821,20.10203657,-35.46885571,18451.1463,29.72256988,845.9757716,NaN,NaN,6814.84806,121.4222117,40.60107077,-36.83575142,-17.07554874
0.118,-21792.61569,49.91556315,40.76925058,20.1020283,-35.46886312,7146.390633,38.86966137,845.9784398,NaN,NaN,14646.22505,-88.78522453,40.60107057,-36.83575085,-17.07554949
0.119,-16185.98404,246.0868576,40.76924922,20.10201801,-35.46886738,-4857.949457,44.21419848,845.981454,NaN,NaN,21043.93348,-290.3010561,40.60107046,-36.83575048,-17.07555004
0.12,-8994.915822,418.1664925,40.7692444,20.10200674,-35.46886824,-16386.80675,45.23301205,845.9845052,NaN,NaN,25381.72256,-463.3995046,40.60107033,-36.83575017,-17.07555041
0.121,-923.3250548,549.3101151,40.76923657,20.10199542,-35.46886566,-26311.65342,41.82637828,845.9872993,NaN,NaN,27234.97846,-591.1364933,40.60107036,-36.83575002,-17.07555081
0.122,7238.684906,626.6804858,40.76922632,20.10198538,-35.46885956,-33660.97493,34.32775477,845.9895769,NaN,NaN,26422.29002,-661.0082406,40.60107043,-36.83574994,-17.07555115
0.123,14692.16125,642.7040678,40.76921477,20.10197792,-35.46885052,-37715.37103,23.47113915,845.9911125,NaN,NaN,23023.20978,-666.1752069,40.60107033,-36.83574968,-17.07555146
0.124,20707.50529,595.8123653,40.76920299,20.10197349,-35.46883948,-38077.97018,10.31924447,845.9917517,NaN,NaN,17370.46489,-606.1316097,40.60107024,-36.8357494,-17.07555184
0.125,24695.89174,490.5954685,40.769192,20.10197254,-35.46882739,-34713.27596,-3.84052667,845.9914409,NaN,NaN,10017.38423,-486.7549418,40.60107024,-36.83574922,-17.07555224
0.126,26266.90984,337.352752,40.76918321,20.10197552,-35.4688156,-27950.64691,-17.62212497,845.9902159,NaN,NaN,1683.737091,-319.730627,40.60107032,-36.83574906,-17.07555277
0.127,25266.77836,151.0846922,40.76917761,20.10198212,-35.46880542,-18452.05857,-29.67653008,845.9881988,NaN,NaN,-6814.719775,-121.4081621,40.60107056,-36.83574899,-17.07555349
0.128,21793.39669,-49.97549007,40.76917548,20.1019916,-35.4687976,-7147.299746,-38.82378054,845.9855966,NaN,NaN,-14646.09692,88.7992706,40.60107098,-36.83574911,-17.07555423
0.129,16186.76266,-246.1466175,40.76917712,20.10200315,-35.46879294,4857.043436,-44.16847735,845.9826652,NaN,NaN,-21043.80608,290.3150949,40.60107157,-36.83574943,-17.07555493
0.13,8995.692848,-418.2260832,40.76918263,20.10201556,-35.46879224,16385.90322,-45.18745232,845.9796832,NaN,NaN,-25381.59605,463.4135355,40.60107241,-36.83575003,-17.07555565
0.131,924.0997863,-549.3695397,40.76919137,20.10202752,-35.46879551,26310.75243,-41.78097837,845.9769457,NaN,NaN,-27234.85221,591.150518,40.60107342,-36.83575088,-17.07555621
0.132,-7237.913023,-626.7397449,40.76920247,20.10203809,-35.46880228,33660.07705,-34.28251221,845.9747281,NaN,NaN,-26422.16402,661.0222571,40.60107439,-36.83575182,-17.07555651
0.133,-14691.39148,-642.7631574,40.76921492,20.10204613,-35.46881203,37714.47617,-23.4260546,845.9732393,NaN,NaN,-23023.08468,666.189212,40.60107537,-36.83575289,-17.07555652
0.134,-20706.73727,-595.871285,40.76922735,20.10205059,-35.46882379,38077.07779,-10.27431936,845.9726152,NaN,NaN,-17370.34053,606.1456044,40.60107628,-36.83575406,-17.07555616
0.135,-24695.12618,-490.6542213,40.76923857,20.10205117,-35.46883635,34712.38612,3.885293868,845.9729155,NaN,NaN,-10017.25995,486.7689274,40.60107691,-36.83575507,-17.07555549
0.136,-26266.1469,-337.4113371,40.76924764,20.10204792,-35.46884863,27949.76012,17.66673648,845.9741062,NaN,NaN,-1683.613227,319.7446006,40.60107721,-36.83575582,-17.07555458
0.137,-25266.0174,-151.1431069,40.76925353,20.10204101,-35.46885931,18451.17473,29.72098533,845.9760647,NaN,NaN,6814.842656,121.4221216,40.60107713,-36.8357563,-17.07555335
0.138,-21792.63767,49.91724474,40.76925551,20.1020311,-35.46886719,7146.418375,38.86807832,845.9785998,NaN,NaN,14646.21928,-88.78532306,40.60107662,-36.83575639,-17.07555194
0.139,-16186.00615,246.0885397,40.76925353,20.10201924,-35.46887165,-4857.922261,44.21261913,845.9814594,NaN,NaN,21043.92839,-290.3011589,40.60107579,-36.83575608,-17.07555063
0.14,-8994.938723,418.1681741,40.76924783,20.1020065,-35.46887232,-16386.77906,45.23144013,845.9843554,NaN,NaN,25381.71777,-463.3996143,40.60107469,-36.8357554,-17.07554948
0.141,-923.3475961,549.3118007,40.76923886,20.10199421,-35.46886897,-26311.62539,41.82481168,845.9870084,NaN,NaN,27234.97297,-591.1366124,40.60107325,-36.83575427,-17.07554849
0.142,7238.663082,626.6821746,40.76922754,20.10198364,-35.46886195,-33660.94754,34.32619004,845.9891674,NaN,NaN,26422.28445,-661.0083646,40.60107171,-36.83575286,-17.07554789
0.143,14692.13909,642.7057549,40.76921499,20.10197572,-35.46885202,-37715.34412,23.46957835,845.9906206,NaN,NaN,23023.20502,-666.1753332,40.60107035,-36.83575143,-17.07554773
0.144,20707.4827,595.8140515,40.76920239,20.10197119,-35.4688401,-38077.94282,10.31769086,845.9912264,NaN,NaN,17370.46013,-606.1317424,40.60106916,-36.83574998,-17.07554802
